"ID";"Name";"NumberOfPersons";"global_id";"Year";"Month";"ID_en";"Name_en";"NumberOfPersons_en";"Year_en";"Month_en";
"591";"Наталья";"8";"62367868";"2015";"июнь";"";"";"";"";"";
"592";"Анжелика";"8";"62367869";"2015";"июнь";"";"";"";"";"";
"593";"Айлин";"8";"62367870";"2015";"июнь";"";"";"";"";"";
"594";"Асия";"8";"62367871";"2015";"июнь";"";"";"";"";"";
"595";"Аяна";"8";"62367872";"2015";"июнь";"";"";"";"";"";
"596";"Агния";"8";"62367873";"2015";"июнь";"";"";"";"";"";
"597";"Милослава";"8";"62367874";"2015";"июнь";"";"";"";"";"";
"598";"Евангелина";"8";"62367875";"2015";"июнь";"";"";"";"";"";
"599";"Алисия";"7";"62367876";"2015";"июнь";"";"";"";"";"";
"600";"Сабина";"7";"62367877";"2015";"июнь";"";"";"";"";"";
"601";"Мария";"331";"62367878";"2015";"июль";"";"";"";"";"";
"602";"Анна";"287";"62367879";"2015";"июль";"";"";"";"";"";
"603";"Анастасия";"270";"62367880";"2015";"июль";"";"";"";"";"";
"604";"София";"230";"62367881";"2015";"июль";"";"";"";"";"";
"605";"Виктория";"226";"62367882";"2015";"июль";"";"";"";"";"";
"606";"Елизавета";"218";"62367883";"2015";"июль";"";"";"";"";"";
"607";"Александра";"214";"62367884";"2015";"июль";"";"";"";"";"";
"608";"Полина";"203";"62367885";"2015";"июль";"";"";"";"";"";
"609";"Алиса";"200";"62367886";"2015";"июль";"";"";"";"";"";
"610";"Варвара";"191";"62367887";"2015";"июль";"";"";"";"";"";
"611";"Дарья";"179";"62367888";"2015";"июль";"";"";"";"";"";
"612";"Екатерина";"172";"62367889";"2015";"июль";"";"";"";"";"";
"613";"Арина";"149";"62367890";"2015";"июль";"";"";"";"";"";
"614";"Софья";"138";"62367891";"2015";"июль";"";"";"";"";"";
"615";"Ксения";"133";"62367892";"2015";"июль";"";"";"";"";"";
"616";"Вероника";"128";"62367893";"2015";"июль";"";"";"";"";"";
"617";"Василиса";"124";"62367894";"2015";"июль";"";"";"";"";"";
"618";"Валерия";"122";"62367895";"2015";"июль";"";"";"";"";"";
"619";"Милана";"121";"62367896";"2015";"июль";"";"";"";"";"";
"620";"Ульяна";"121";"62367897";"2015";"июль";"";"";"";"";"";
"621";"Ева";"107";"62367898";"2015";"июль";"";"";"";"";"";
"622";"Маргарита";"82";"62367899";"2015";"июль";"";"";"";"";"";
"623";"Вера";"81";"62367900";"2015";"июль";"";"";"";"";"";
"624";"Алёна";"79";"62367901";"2015";"июль";"";"";"";"";"";
"625";"Ольга";"75";"62367902";"2015";"июль";"";"";"";"";"";
"626";"Кира";"74";"62367903";"2015";"июль";"";"";"";"";"";
"627";"Кристина";"65";"62367904";"2015";"июль";"";"";"";"";"";
"628";"Юлия";"61";"62367905";"2015";"июль";"";"";"";"";"";
"629";"Ангелина";"58";"62367906";"2015";"июль";"";"";"";"";"";
"630";"Алина";"58";"62367907";"2015";"июль";"";"";"";"";"";
"631";"Таисия";"55";"62367908";"2015";"июль";"";"";"";"";"";
"632";"Диана";"49";"62367909";"2015";"июль";"";"";"";"";"";
"633";"Амина";"46";"62367911";"2015";"июль";"";"";"";"";"";
"634";"Яна";"44";"62367912";"2015";"июль";"";"";"";"";"";
"635";"Евгения";"42";"62367913";"2015";"июль";"";"";"";"";"";
"636";"Мирослава";"40";"62367914";"2015";"июль";"";"";"";"";"";
"637";"Сафия";"34";"62367915";"2015";"июль";"";"";"";"";"";
"638";"Ирина";"29";"62367916";"2015";"июль";"";"";"";"";"";
"639";"Надежда";"29";"62367917";"2015";"июль";"";"";"";"";"";
"640";"Елена";"28";"62367918";"2015";"июль";"";"";"";"";"";
"641";"Стефания";"28";"62367919";"2015";"июль";"";"";"";"";"";
"642";"Татьяна";"26";"62367920";"2015";"июль";"";"";"";"";"";
"643";"Марина";"26";"62367921";"2015";"июль";"";"";"";"";"";
"644";"Ника";"26";"62367922";"2015";"июль";"";"";"";"";"";
"645";"Аделина";"25";"62367924";"2015";"июль";"";"";"";"";"";
"646";"Майя";"25";"62367925";"2015";"июль";"";"";"";"";"";
"647";"Элина";"24";"62367926";"2015";"июль";"";"";"";"";"";
"648";"Эмилия";"24";"62367927";"2015";"июль";"";"";"";"";"";
"649";"Олеся";"22";"62367928";"2015";"июль";"";"";"";"";"";
"650";"Ясмина";"22";"62367929";"2015";"июль";"";"";"";"";"";
"651";"Агата";"22";"62367930";"2015";"июль";"";"";"";"";"";
"652";"Марьям";"22";"62367931";"2015";"июль";"";"";"";"";"";
"653";"Аиша";"21";"62367932";"2015";"июль";"";"";"";"";"";
"654";"Ярослава";"20";"62367933";"2015";"июль";"";"";"";"";"";
"655";"Милена";"20";"62367934";"2015";"июль";"";"";"";"";"";
"656";"Злата";"19";"62367936";"2015";"июль";"";"";"";"";"";
"657";"Дарина";"18";"62367937";"2015";"июль";"";"";"";"";"";
"658";"Любовь";"18";"62367938";"2015";"июль";"";"";"";"";"";
"659";"Есения";"18";"62367939";"2015";"июль";"";"";"";"";"";
"660";"Антонина";"15";"62367940";"2015";"июль";"";"";"";"";"";
"661";"Камилла";"15";"62367941";"2015";"июль";"";"";"";"";"";
"662";"Алия";"14";"62367942";"2015";"июль";"";"";"";"";"";
"663";"Мила";"14";"62367943";"2015";"июль";"";"";"";"";"";
"664";"Каролина";"14";"62367944";"2015";"июль";"";"";"";"";"";
"665";"Агния";"14";"62367945";"2015";"июль";"";"";"";"";"";
"666";"Эвелина";"14";"62367946";"2015";"июль";"";"";"";"";"";
"667";"Светлана";"14";"62367947";"2015";"июль";"";"";"";"";"";
"668";"Зоя";"14";"62367948";"2015";"июль";"";"";"";"";"";
"669";"Камила";"13";"62367949";"2015";"июль";"";"";"";"";"";
"670";"Евангелина";"12";"62367950";"2015";"июль";"";"";"";"";"";
"671";"Владислава";"12";"62367951";"2015";"июль";"";"";"";"";"";
"672";"Амелия";"12";"62367952";"2015";"июль";"";"";"";"";"";
"673";"Лилия";"12";"62367953";"2015";"июль";"";"";"";"";"";
"674";"Нина";"12";"62367954";"2015";"июль";"";"";"";"";"";
"675";"Раяна";"12";"62367955";"2015";"июль";"";"";"";"";"";
"676";"Марианна";"11";"62367956";"2015";"июль";"";"";"";"";"";
"677";"Валентина";"11";"62367957";"2015";"июль";"";"";"";"";"";
"678";"Карина";"11";"62367958";"2015";"июль";"";"";"";"";"";
"679";"Лейла";"11";"62367959";"2015";"июль";"";"";"";"";"";
"680";"Николь";"11";"62367960";"2015";"июль";"";"";"";"";"";
"681";"Айлин";"10";"62367961";"2015";"июль";"";"";"";"";"";
"682";"Юлиана";"10";"62367962";"2015";"июль";"";"";"";"";"";
"683";"Малика";"10";"62367964";"2015";"июль";"";"";"";"";"";
"684";"Ариана";"9";"62367965";"2015";"июль";"";"";"";"";"";
"685";"Наталья";"9";"62367966";"2015";"июль";"";"";"";"";"";
"686";"Анжелика";"9";"62367967";"2015";"июль";"";"";"";"";"";
"687";"Мира";"9";"62367968";"2015";"июль";"";"";"";"";"";
"688";"Марьяна";"9";"62367969";"2015";"июль";"";"";"";"";"";
"689";"Самира";"9";"62367970";"2015";"июль";"";"";"";"";"";
"690";"Виолетта";"9";"62367971";"2015";"июль";"";"";"";"";"";
"691";"Мадина";"9";"62367972";"2015";"июль";"";"";"";"";"";
"692";"Аглая";"9";"62367973";"2015";"июль";"";"";"";"";"";
"693";"Лада";"9";"62367974";"2015";"июль";"";"";"";"";"";
"694";"Лидия";"9";"62367975";"2015";"июль";"";"";"";"";"";
"695";"Наталия";"9";"62367976";"2015";"июль";"";"";"";"";"";
"696";"Евдокия";"8";"62367977";"2015";"июль";"";"";"";"";"";
"697";"Марта";"8";"62367978";"2015";"июль";"";"";"";"";"";
"698";"Алсу";"8";"62367979";"2015";"июль";"";"";"";"";"";
"699";"Зарина";"8";"62367980";"2015";"июль";"";"";"";"";"";
"700";"Амира";"8";"62367981";"2015";"июль";"";"";"";"";"";
"701";"Мария";"312";"62367982";"2015";"август";"";"";"";"";"";
"702";"Анна";"257";"62367983";"2015";"август";"";"";"";"";"";
"703";"София";"225";"62367984";"2015";"август";"";"";"";"";"";
"704";"Анастасия";"216";"62367985";"2015";"август";"";"";"";"";"";
"705";"Елизавета";"202";"62367986";"2015";"август";"";"";"";"";"";
"706";"Виктория";"201";"62367987";"2015";"август";"";"";"";"";"";
"707";"Полина";"192";"62367988";"2015";"август";"";"";"";"";"";
"708";"Дарья";"187";"62367989";"2015";"август";"";"";"";"";"";
"709";"Алиса";"180";"62367990";"2015";"август";"";"";"";"";"";
"710";"Александра";"159";"62367991";"2015";"август";"";"";"";"";"";
"711";"Арина";"149";"62367993";"2015";"август";"";"";"";"";"";
"712";"Екатерина";"148";"62367994";"2015";"август";"";"";"";"";"";
"713";"Ксения";"140";"62367995";"2015";"август";"";"";"";"";"";
"714";"Вероника";"133";"62367996";"2015";"август";"";"";"";"";"";
"715";"Варвара";"132";"62367997";"2015";"август";"";"";"";"";"";
"716";"Милана";"109";"62367998";"2015";"август";"";"";"";"";"";
"717";"Василиса";"100";"62367999";"2015";"август";"";"";"";"";"";
"718";"Валерия";"97";"62368000";"2015";"август";"";"";"";"";"";
"719";"Ева";"97";"62368001";"2015";"август";"";"";"";"";"";
"720";"Софья";"94";"62368002";"2015";"август";"";"";"";"";"";
"721";"Ульяна";"90";"62368003";"2015";"август";"";"";"";"";"";
"722";"Маргарита";"81";"62368004";"2015";"август";"";"";"";"";"";
"723";"Кира";"76";"62368005";"2015";"август";"";"";"";"";"";
"724";"Кристина";"68";"62368006";"2015";"август";"";"";"";"";"";
"725";"Ольга";"68";"62368007";"2015";"август";"";"";"";"";"";
"726";"Таисия";"64";"62368008";"2015";"август";"";"";"";"";"";
"727";"Алёна";"61";"62368009";"2015";"август";"";"";"";"";"";
"728";"Диана";"61";"62368010";"2015";"август";"";"";"";"";"";
"729";"Юлия";"60";"62368011";"2015";"август";"";"";"";"";"";
"730";"Алина";"56";"62368012";"2015";"август";"";"";"";"";"";
"731";"Вера";"55";"62368013";"2015";"август";"";"";"";"";"";
"732";"Мирослава";"51";"62368014";"2015";"август";"";"";"";"";"";
"733";"Ангелина";"50";"62368015";"2015";"август";"";"";"";"";"";
"734";"Амина";"49";"62368016";"2015";"август";"";"";"";"";"";
"735";"Злата";"32";"62368017";"2015";"август";"";"";"";"";"";
"736";"Елена";"31";"62368018";"2015";"август";"";"";"";"";"";
"737";"Яна";"31";"62368019";"2015";"август";"";"";"";"";"";
"738";"Евгения";"30";"62368020";"2015";"август";"";"";"";"";"";
"739";"Татьяна";"30";"62368021";"2015";"август";"";"";"";"";"";
"740";"Ирина";"27";"62368022";"2015";"август";"";"";"";"";"";
"741";"Сафия";"27";"62368023";"2015";"август";"";"";"";"";"";
"742";"Аделина";"25";"62368024";"2015";"август";"";"";"";"";"";
"743";"Есения";"25";"62368025";"2015";"август";"";"";"";"";"";
"744";"Элина";"23";"62368026";"2015";"август";"";"";"";"";"";
"745";"Майя";"22";"62368027";"2015";"август";"";"";"";"";"";
"746";"Стефания";"22";"62368028";"2015";"август";"";"";"";"";"";
"747";"Марина";"21";"62368029";"2015";"август";"";"";"";"";"";
"748";"Камилла";"19";"62368030";"2015";"август";"";"";"";"";"";
"749";"Милена";"19";"62368031";"2015";"август";"";"";"";"";"";
"750";"Надежда";"19";"62368032";"2015";"август";"";"";"";"";"";
"751";"Нина";"19";"62368033";"2015";"август";"";"";"";"";"";
"752";"Эмилия";"19";"62368034";"2015";"август";"";"";"";"";"";
"753";"Агата";"18";"62368036";"2015";"август";"";"";"";"";"";
"754";"Светлана";"18";"62368037";"2015";"август";"";"";"";"";"";
"755";"Любовь";"17";"62368038";"2015";"август";"";"";"";"";"";
"756";"Ярослава";"17";"62368039";"2015";"август";"";"";"";"";"";
"757";"Агния";"16";"62368040";"2015";"август";"";"";"";"";"";
"758";"Ника";"16";"62368041";"2015";"август";"";"";"";"";"";
"759";"Лилия";"15";"62368042";"2015";"август";"";"";"";"";"";
"760";"Малика";"15";"62368043";"2015";"август";"";"";"";"";"";
"761";"Марьям";"15";"62368044";"2015";"август";"";"";"";"";"";
"762";"Николь";"15";"62368045";"2015";"август";"";"";"";"";"";
"763";"Амелия";"14";"62368046";"2015";"август";"";"";"";"";"";
"764";"Антонина";"14";"62368047";"2015";"август";"";"";"";"";"";
"765";"Алия";"13";"62368048";"2015";"август";"";"";"";"";"";
"766";"Евангелина";"13";"62368049";"2015";"август";"";"";"";"";"";
"767";"Олеся";"13";"62368050";"2015";"август";"";"";"";"";"";
"768";"Ясмина";"13";"62368051";"2015";"август";"";"";"";"";"";
"769";"Валентина";"12";"62368052";"2015";"август";"";"";"";"";"";
"770";"Виолетта";"12";"62368053";"2015";"август";"";"";"";"";"";
"771";"Мадина";"12";"62368054";"2015";"август";"";"";"";"";"";
"772";"Самира";"12";"62368055";"2015";"август";"";"";"";"";"";
"773";"Дарина";"11";"62368056";"2015";"август";"";"";"";"";"";
"774";"Зоя";"11";"62368057";"2015";"август";"";"";"";"";"";
"775";"Камила";"11";"62368058";"2015";"август";"";"";"";"";"";
"776";"Марианна";"11";"62368060";"2015";"август";"";"";"";"";"";
"777";"Мила";"11";"62368061";"2015";"август";"";"";"";"";"";
"778";"Ариана";"10";"62368062";"2015";"август";"";"";"";"";"";
"779";"Карина";"10";"62368063";"2015";"август";"";"";"";"";"";
"780";"Оливия";"10";"62368064";"2015";"август";"";"";"";"";"";
"781";"Дана";"9";"62368065";"2015";"август";"";"";"";"";"";
"782";"Марьяна";"9";"62368066";"2015";"август";"";"";"";"";"";
"783";"Наталия";"9";"62368067";"2015";"август";"";"";"";"";"";
"784";"Серафима";"9";"62368068";"2015";"август";"";"";"";"";"";
"785";"Альбина";"8";"62368069";"2015";"август";"";"";"";"";"";
"786";"Аиша";"8";"62368070";"2015";"август";"";"";"";"";"";
"787";"Евдокия";"8";"62368071";"2015";"август";"";"";"";"";"";
"788";"Лада";"8";"62368072";"2015";"август";"";"";"";"";"";
"789";"Мариам";"8";"62368073";"2015";"август";"";"";"";"";"";
"790";"Марта";"8";"62368074";"2015";"август";"";"";"";"";"";
"791";"Мира";"8";"62368075";"2015";"август";"";"";"";"";"";
"792";"Наталья";"8";"62368076";"2015";"август";"";"";"";"";"";
"793";"Пелагея";"8";"62368077";"2015";"август";"";"";"";"";"";
"794";"Раяна";"8";"62368078";"2015";"август";"";"";"";"";"";
"795";"Тамара";"8";"62368079";"2015";"август";"";"";"";"";"";
"796";"Аглая";"7";"62368080";"2015";"август";"";"";"";"";"";
"797";"Лидия";"7";"62368081";"2015";"август";"";"";"";"";"";
"798";"Лина";"7";"62368082";"2015";"август";"";"";"";"";"";
"799";"Медина";"7";"62368083";"2015";"август";"";"";"";"";"";
"800";"Мелания";"7";"62368084";"2015";"август";"";"";"";"";"";
"801";"Мария";"305";"62368085";"2015";"сентябрь";"";"";"";"";"";
"802";"София";"252";"62368086";"2015";"сентябрь";"";"";"";"";"";
"803";"Анна";"244";"62368087";"2015";"сентябрь";"";"";"";"";"";
"804";"Виктория";"223";"62368088";"2015";"сентябрь";"";"";"";"";"";
"805";"Алиса";"189";"62368089";"2015";"сентябрь";"";"";"";"";"";
"806";"Анастасия";"188";"62368090";"2015";"сентябрь";"";"";"";"";"";
"807";"Полина";"184";"62368091";"2015";"сентябрь";"";"";"";"";"";
"808";"Елизавета";"180";"62368092";"2015";"сентябрь";"";"";"";"";"";
"809";"Дарья";"167";"62368093";"2015";"сентябрь";"";"";"";"";"";
"810";"Ксения";"153";"62368094";"2015";"сентябрь";"";"";"";"";"";
"811";"Арина";"146";"62368095";"2015";"сентябрь";"";"";"";"";"";
"812";"Варвара";"140";"62368096";"2015";"сентябрь";"";"";"";"";"";
"813";"Александра";"134";"62368097";"2015";"сентябрь";"";"";"";"";"";
"814";"Екатерина";"130";"62368098";"2015";"сентябрь";"";"";"";"";"";
"815";"Василиса";"126";"62368099";"2015";"сентябрь";"";"";"";"";"";
"816";"Валерия";"114";"62368100";"2015";"сентябрь";"";"";"";"";"";
"817";"Софья";"109";"62368101";"2015";"сентябрь";"";"";"";"";"";
"818";"Вероника";"107";"62368102";"2015";"сентябрь";"";"";"";"";"";
"819";"Милана";"103";"62368103";"2015";"сентябрь";"";"";"";"";"";
"820";"Ева";"101";"62368104";"2015";"сентябрь";"";"";"";"";"";
"821";"Вера";"85";"62368105";"2015";"сентябрь";"";"";"";"";"";
"822";"Кристина";"73";"62368106";"2015";"сентябрь";"";"";"";"";"";
"823";"Ульяна";"72";"62368108";"2015";"сентябрь";"";"";"";"";"";
"824";"Кира";"70";"62368109";"2015";"сентябрь";"";"";"";"";"";
"825";"Диана";"68";"62368110";"2015";"сентябрь";"";"";"";"";"";
"826";"Алёна";"62";"62368111";"2015";"сентябрь";"";"";"";"";"";
"827";"Маргарита";"62";"62368112";"2015";"сентябрь";"";"";"";"";"";
"828";"Алина";"59";"62368113";"2015";"сентябрь";"";"";"";"";"";
"829";"Мирослава";"46";"62368114";"2015";"сентябрь";"";"";"";"";"";
"830";"Амина";"42";"62368115";"2015";"сентябрь";"";"";"";"";"";
"831";"Таисия";"41";"62368117";"2015";"сентябрь";"";"";"";"";"";
"832";"Юлия";"40";"62368118";"2015";"сентябрь";"";"";"";"";"";
"833";"Ангелина";"39";"62368119";"2015";"сентябрь";"";"";"";"";"";
"834";"Ольга";"39";"62368120";"2015";"сентябрь";"";"";"";"";"";
"835";"Ирина";"34";"62368121";"2015";"сентябрь";"";"";"";"";"";
"836";"Татьяна";"33";"62368122";"2015";"сентябрь";"";"";"";"";"";
"837";"Яна";"33";"62368123";"2015";"сентябрь";"";"";"";"";"";
"838";"Евгения";"32";"62368125";"2015";"сентябрь";"";"";"";"";"";
"839";"Стефания";"29";"62368126";"2015";"сентябрь";"";"";"";"";"";
"840";"Злата";"27";"62368127";"2015";"сентябрь";"";"";"";"";"";
"841";"Сафия";"27";"62368128";"2015";"сентябрь";"";"";"";"";"";
"842";"Марьям";"25";"62368129";"2015";"сентябрь";"";"";"";"";"";
"843";"Любовь";"24";"62368130";"2015";"сентябрь";"";"";"";"";"";
"844";"Милена";"24";"62368131";"2015";"сентябрь";"";"";"";"";"";
"845";"Елена";"23";"62368133";"2015";"сентябрь";"";"";"";"";"";
"846";"Эмилия";"23";"62368134";"2015";"сентябрь";"";"";"";"";"";
"847";"Лидия";"22";"62368135";"2015";"сентябрь";"";"";"";"";"";
"848";"Ярослава";"22";"62368136";"2015";"сентябрь";"";"";"";"";"";
"849";"Марина";"20";"62368137";"2015";"сентябрь";"";"";"";"";"";
"850";"Элина";"18";"62368138";"2015";"сентябрь";"";"";"";"";"";
"851";"Надежда";"17";"62368139";"2015";"сентябрь";"";"";"";"";"";
"852";"Амелия";"15";"62368141";"2015";"сентябрь";"";"";"";"";"";
"853";"Агата";"15";"62368142";"2015";"сентябрь";"";"";"";"";"";
"854";"Есения";"15";"62368143";"2015";"сентябрь";"";"";"";"";"";
"855";"Майя";"15";"62368144";"2015";"сентябрь";"";"";"";"";"";
"856";"Анфиса";"14";"62368145";"2015";"сентябрь";"";"";"";"";"";
"857";"Дарина";"14";"62368146";"2015";"сентябрь";"";"";"";"";"";
"858";"Олеся";"14";"62368147";"2015";"сентябрь";"";"";"";"";"";
